Year,UniqueCarrier,count
1999,WN,260
1993,US,1140
1997,HP,491
1989,UA,1174
1998,DL,35
1997,DL,198
1996,AA,209
1999,UA,48
1999,TW,96
2000,WN,293
1997,UA,198
2000,HP,494
1998,AA,108
1999,US,621
1996,WN,155
2002,US,809
1994,US,1151
2000,CO,30
1995,UA,88
1997,US,20
2008,WN,1591
1996,CO,22
2000,US,21
2001,US,730
2004,UA,951
1999,DL,65
1990,US,1448
2000,DL,78
1996,US,51
2000,UA,137
1987,PS,1670
1996,HP,474
1998,CO,19
1999,HP,118
1995,US,916
1988,PI,482
1995,AA,53
1988,PS,588
1996,UA,184
1998,UA,189
2006,US,795
1992,US,1067
1997,CO,21
1998,WN,126
1991,US,1042
1996,DL,235
2003,UA,558
2005,UA,982
2007,WN,1093
1998,HP,305
1999,AA,21
1997,WN,329
1995,TW,114
1998,US,19
